,Write,Query Using Where,Query Without Where
117,0.003355772,0.000725341,0.000575955
118,0.00337843,0.00053379,0.000459127
119,0.003479773,0.000786941,0.000660888
120,0.003730294,0.000641391,0.000661384
121,0.003601042,0.000955582,0.001213803
122,0.003500353,0.000713093,0.000666301
123,0.003971403,0.000677984,0.000727536
124,0.003287318,0.00094283,0.000821578
125,0.003553313,0.00061079,0.000584409
126,0.003497514,0.000643079,0.000617839
127,0.003486006,0.000744075,0.000936302
128,0.00448917,0.000661688,0.000729245
129,0.00410281,0.001012202,0.000966599
130,0.004385039,0.00129264,0.001454748
131,0.004983085,0.001366991,0.001113211
132,0.003332896,0.000923913,0.000778662
133,0.004405958,0.001384353,0.000882139
134,0.003511,0.000696628,0.000702983
135,0.003161601,0.000846865,0.000643688
136,0.004252301,0.000790112,0.001007912
137,0.003776843,0.000813607,0.000901632
138,0.004282701,0.001130238,0.000939012
139,0.003783942,0.000719291,0.000631298
140,0.003749116,0.000724098,0.00089541
141,0.004643826,0.000709665,0.000775036
142,0.00389307,0.000726683,0.00077107
143,0.003184099,0.000659221,0.000747872
144,0.003449031,0.000690569,0.000694885
145,0.003263753,0.0006933,0.000698689
146,0.003339917,0.00092155,0.000946676
147,0.003639816,0.000845091,0.000922355
148,0.00383602,0.001033075,0.001326449
149,0.003918445,0.00064577,0.000758503
150,0.00351635,0.00076302,0.000796652
151,0.003321952,0.001060852,0.001033702
152,0.003417914,0.000948613,0.000880767
153,0.003554769,0.000767783,0.000797319
154,0.004780183,0.001387037,0.000769104
155,0.003694642,0.001206763,0.000897323
156,0.004229993,0.000837557,0.000982801
157,0.004649412,0.001780275,0.000982892
158,0.004634525,0.00103522,0.001075369
159,0.003529863,0.000696726,0.000873943
160,0.003278471,0.000733808,0.000741362
161,0.003249833,0.000775292,0.001165267
162,0.004259534,0.001239318,0.000814457
163,0.003912497,0.000815071,0.000957558
164,0.004045487,0.001367886,0.000861051
165,0.003847836,0.001458112,0.001750953
166,0.00450943,0.001080647,0.000723445
167,0.005750295,0.003122724,0.001022398
168,0.004012331,0.001328173,0.000940305
169,0.003213183,0.000839627,0.000831653
170,0.003206715,0.00071985,0.000722758
171,0.003509697,0.000791754,0.000736066
172,0.00351452,0.000747251,0.000735143
173,0.003265747,0.001751517,0.001492742
174,0.004493167,0.001133938,0.00102333
175,0.004119684,0.001228418,0.001037002
176,0.003700171,0.001387744,0.001042557
177,0.003530013,0.00090397,0.001581169
178,0.003350506,0.000928109,0.00108511
179,0.003854681,0.001181963,0.001024347
180,0.003993302,0.001130669,0.0008865
181,0.003486487,0.001461606,0.001816542
182,0.003314139,0.001642253,0.001142418
183,0.003423405,0.000871431,0.000910564
184,0.003468937,0.000930094,0.000987297
185,0.003739879,0.001204504,0.000932687
186,0.003665889,0.001009949,0.000884774
187,0.00345987,0.001021135,0.001347912
188,0.004348902,0.001577553,0.001081151
189,0.004335744,0.002072863,0.001631776
190,0.004286154,0.001120283,0.001783936
191,0.004179091,0.001418736,0.001654766
Average,0.003860905,0.000604311,0.000570346
